id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
af8e87eb-8382-4ef7-9e86-eec5e104638d,Asianization.us,premium,,,52,8,12,,,
7420578e-5a98-4427-97bc-f51b33bfa80f,typical.us,resell,,,82,12,7,Dynadot Inc,03/01/2022 00:00,03/01/2027 00:00
682ed613-3ae1-4343-b6be-3d92aa3f46b8,fuzzynavel.us,premium,,,68,72,11,,,
26942efd-54d6-490c-9f0e-926cffca4333,royalprogress.us,premium,,,62,72,14,,,
14e451d4-15f9-4e34-a1f7-18f7f05994eb,trapper.us,resell,,,56,84,7,"GoDaddy.com, LLC",29/04/2002 14:01,28/04/2026 23:59
60a39c26-5929-413d-9322-5cf51d44d747,creekfish.us,premium,,,52,8,9,,,
7f4a49f9-5eb4-4aa8-8450-ff4711415a07,mossgreen.us,premium,,,50,72,10,,,
209812ba-8a41-496b-9153-23946edc3042,Leidenfrosteffect.us,premium,,,60,72,18,,,
9b48e7dc-202c-4c62-a16b-281e42a8eae5,secondleveldomain.us,premium,,,56,72,19,,,
c99168c8-e6c9-4307-8884-f4ace6ad6ce8,establish.us,resell,,,66,10,9,"GoDaddy.com, LLC",19/07/2015 19:55,18/07/2027 23:59
ead0a880-4086-4769-bc5e-6299d26145c0,university.us,resell,,,66,96,10,Sav.com LLC,08/07/2017 18:01,07/07/2026 23:59
0bd341dc-5713-4312-9e93-6a0753fddc67,recoveredmemory.us,premium,,,70,1,16,,,
a8843fec-7c36-4f67-8307-e0faec5e9ad8,affective.us,premium,,,56,5,9,,,
756e5f4a-d81b-4cfe-b8ed-a135948eacb1,panellist.us,premium,,,54,72,9,,,
fdedf842-bfc4-44e6-b90a-575e0d08e5b7,Christalmighty.us,premium,,,72,1,15,,,
e13a58cb-7019-4e8a-99c1-862b6dfc88e5,salinity.us,premium,,,52,76,8,,,
25632fe6-5630-4a3f-bad0-7b89fdd27f40,titbit.us,resell,,,71,80,6,Dominet (HK) Limited,10/02/2025 17:32,10/02/2026 17:32
87b727e9-1038-467b-b460-6ab65e27c923,reclining.us,premium,,,78,68,9,,,
5f86d5cd-594f-42d5-a845-d7697a1a996f,coloursergeants.us,premium,,,40,4,16,,,
e226e92e-0ff0-404b-936c-57ad4e185d45,moneysupply.us,premium,,,72,1,12,,,
025672be-9230-4ecc-a86e-04c7d0a9a57f,acino.us,premium,,,50,1,7,,,
dc4677d8-ece4-46d6-8f3f-70bc4710d2ea,potluckdinner.us,premium,,,,72,14,,,
2edbdbff-b0c8-43ed-9722-24ac04c8b8ac,likelier.us,premium,,,42,8,8,,,
602e1267-870c-4e6e-b1e2-78557facca81,Pentecostal.us,premium,,,72,76,11,,,
9795c521-6c6c-4e21-b8a3-9817d25c5510,thoroughness.us,premium,,,,12,12,,,
4fe15120-9203-4f03-9174-abda55570f44,Dodochess.us,premium,,,46,68,10,,,
9eec53d1-5ad3-4576-8619-b1d33ebc1881,purposing.us,premium,,,56,72,9,,,
497ffbf7-eb9c-4886-8638-d037426c37a4,tabloids.us,premium,,,,16,8,,,
50352394-6ecc-4195-a3d6-73710018c142,populations.us,premium,,,,28,11,,,
c4b4a148-4beb-4de5-877d-2ea8690ecf06,springtolife.us,premium,,,,76,14,,,
2e67c85a-82b8-4443-93e7-763ab779530f,azzarqa.us,premium,,,56,72,8,,,
4d1b3f8b-7e47-427f-827f-c9f9024190b1,autophytic.us,premium,,,48,1,10,,,
b5120c91-90bb-46f9-ad64-366ef5cfcdb3,verbofmotion.us,premium,,,,72,14,,,
5ac80f06-0b9b-449a-9d6c-d54734ae9c1e,bubblelevel.us,premium,,,62,72,12,,,
83e46e23-efd6-45a1-b568-2300e37ceeb5,sane.us,resell,,,90,80,4,Dynadot Inc,26/02/2020 08:20,26/02/2026 08:20
918566da-812f-43ba-b964-4fe53187c4ec,crabpotvalve.us,premium,,,32,4,14,,,
35f8ae1c-caf6-448e-b545-e6c30de413d5,GreatHoughton.us,premium,,,52,72,14,,,
33280c6e-138f-41c5-be6c-d89acab7d29b,acidstable.us,premium,,,56,72,11,,,
5dac6cbc-a2da-4111-9f61-21774767bf39,therapeuticwindow.us,premium,,,58,76,18,,,
7536e84a-a81a-4671-90ca-f582fbf0ae5a,Mustafas.us,premium,,,,28,8,,,
16a1b783-e5db-45c3-a2ef-ce9f07a2e96d,cotherapist.us,premium,,,62,72,11,,,
16180c09-084b-4ae5-92cc-0ff6a6a6dacd,squashracket.us,premium,,,64,72,13,,,
a60ea49f-6462-4a8e-882d-99dc55622641,hikeout.us,premium,,,56,12,8,,,
5fed235d-187c-4904-8628-daade22e32d5,advertent.us,premium,,,56,1,9,,,
3e061b14-6344-401f-80e8-ac31dbd98429,accolades.us,resell,,,46,48,9,Dynadot Inc,12/02/2023 07:14,12/02/2026 07:14
5a4d790a-b1b4-4a59-98a3-770e5d3d7cec,sheepsorrel.us,premium,,,,72,12,,,
a9a88930-aa80-42b2-97a6-ea408c71db31,stationstaff.us,premium,,,,72,13,,,
a1c7a378-626f-466c-8dca-0d4579766049,pupal.us,premium,,,54,76,5,,,
ea443602-7211-4863-8d61-a1d2878c7916,number.us,resell,,,96,25,6,"Spaceship, Inc.",08/07/2023 00:00,08/07/2026 00:00
56f6dc9d-e45d-44d1-929d-e7220f00fc1e,greatmullein.us,premium,,,,72,13,,,
08463e53-054f-4bec-a4db-685439c09878,ironricebowl.us,premium,,,58,72,14,,,
479b709a-2681-4be9-9d98-cd4ead5118b7,bedroomsuburb.us,premium,,,60,72,14,,,
890ef974-dd44-48fb-9c85-5624d2d151fd,antidotal.us,premium,,,56,2,9,,,
827e6526-fcce-4dda-af34-66d7c7cc3631,aglycone.us,premium,,,56,72,8,,,
495687c9-c515-4903-acd7-041d2914f851,outstandingly.us,premium,,,52,76,13,,,
96204d4e-e733-47cc-a89e-905eaa735525,Amherstpheasant.us,premium,,,54,72,16,,,
45bfa204-b226-4acb-a212-56b3f6208521,linearcombinations.us,premium,,,36,4,19,,,
1944a06b-2229-4c47-9f29-4a2f535a5ec4,telephonic.us,premium,,,52,72,10,,,
3075a8ce-35b6-4648-a4c5-b96cb7fe3e5f,crosswordpuzzle.us,premium,,,72,2,16,,,
0119fa05-2850-4929-99d5-4418746621fc,prized.us,premium,,,66,72,6,,,
0accd737-7bbe-4b5f-b2ae-097199a3e3c3,cuddleup.us,resell,,,85,48,9,Dominet (HK) Limited,10/02/2025 22:50,10/02/2026 22:50
b7bfe602-742c-4f2c-b115-6300f2e1308e,briery.us,premium,,,66,1,6,,,
c29161d7-de46-4487-b672-c2ffa6ad3747,masscenter.us,premium,,,36,76,11,,,
a8fffaf8-b0ee-44d7-92b9-4113f964b493,desulphur.us,premium,,,56,72,9,,,
8794d375-314b-4275-ab81-a442e3a3294f,plateup.us,premium,,,,76,8,,,
c311b96f-b9a8-46b6-af4b-b63ad43eb540,Saxonyyarn.us,premium,,,,72,11,,,
bb337e7c-d43f-4d7a-b8b6-b889ce0d4d3d,rightmouse.us,premium,,,,72,11,,,
c2c0e506-07d3-4208-8131-4203e799402c,congenial.us,premium,,,56,76,9,,,
1dd6a643-f3c7-4a66-a85b-124409803524,puffedrice.us,premium,,,,72,11,,,
31819d76-df3c-4085-861f-e70563d732da,shakerupper.us,premium,,,60,72,12,,,
db395788-5262-47b0-ac06-09f53bb3cc85,lammastide.us,premium,,,44,72,10,,,
a8b9bb8f-3428-44b0-a825-96b3329e270b,sombody.us,premium,,,62,1,7,,,
cf20f7c2-0163-468b-8a49-3d0f28e55abb,sealpointed.us,premium,,,,4,12,,,
cc1855e2-bd09-4de2-a44e-4426718db505,puffy.us,resell,,,64,80,5,"GoDaddy.com, LLC",11/03/2018 00:03,11/03/2026 00:03
4ab7ba41-c557-4841-b6e1-3fef5ef0b6a7,cutlassfish.us,premium,,,56,72,12,,,
ff87b3c7-1d67-4118-a13f-59f97140d0d6,eat.us,resell,,,112,31,3,"GoDaddy.com, LLC",28/08/2020 00:01,28/08/2027 00:01
93855b09-fbdf-463c-8981-71afc537e30e,fittogether.us,premium,,,76,72,12,,,
9102f9c2-eb33-45b1-af56-a8484e007846,coughreliever.us,premium,,,38,72,14,,,
a173ce27-4832-4a9c-b74f-d96d5ab11ea5,cakeplate.us,premium,,,58,72,10,,,
7a1b271c-e8bf-483c-8a82-7e709e497557,closedformula.us,premium,,,58,72,14,,,
fc5e67b7-5284-4de1-9c73-26ce9595ee24,kerfluffles.us,premium,,,38,4,11,,,
7132f4d2-c6d3-48c2-9d8e-f3c71d35d655,quivering.us,premium,,,52,72,9,,,
b71305cc-449c-4929-902c-670c4c61f9ad,compulsorily.us,premium,,,42,72,12,,,
31cd8834-0005-4e4d-abfd-4d254d70e9af,summertime.us,resell,,,66,80,10,"GoDaddy.com, LLC",26/08/2019 09:33,26/08/2025 09:33
917dc11c-8f98-4888-ada7-ac39db47e863,hardstart.us,premium,,,56,72,10,,,
1f70595a-10c6-4edf-97f9-86eb061ea42e,yellowsugar.us,premium,,,,72,12,,,
5109ac3c-c700-470e-a293-82a86f1392f1,firstwavefeminism.us,premium,,,56,72,19,,,
5dd6dad8-723e-42f6-b91b-ac16f052846a,boardofadvisors.us,premium,,,40,72,17,,,
138fcfeb-5386-4a91-bd67-c92c0d0ceeb5,crowningachievement.us,premium,,,70,72,20,,,
98c0348a-baab-45e7-8393-32d2875f359b,gardening.us,resell,,,66,80,9,"GoDaddy.com, LLC",24/04/2002 14:00,23/04/2026 23:59
669cbd8c-cb08-4290-9ca3-067f0b4b2c2a,fishfarming.us,available,6.99,18.99,50,68,12,name.com,,
13d68620-c75f-4431-a08a-26922932c36e,congregationalism.us,premium,,,58,72,17,,,
5fa91514-a208-40c0-9ea1-13031d3b6feb,drinklikeafish.us,premium,,,60,72,17,,,
538e5809-64d8-421b-9ccc-50ebdbac1536,artificialsweetener.us,premium,,,58,68,20,,,
fd260b07-d4ee-4354-8ec2-89ab021f3239,nosyparker.us,premium,,,74,76,11,,,
554180c9-a348-4426-8fe7-7625430d852d,mtranier.us,premium,,,58,72,10,,,
51d969b3-a231-40d8-9807-181d4e2e1bda,virtuous.us,resell,,,62,72,8,"GoDaddy.com, LLC",06/10/2016 18:14,05/10/2026 23:59
bb482c1c-f416-4b57-8a53-ee7e42e1d4ff,recreant.us,premium,,,56,1,8,,,
